business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Aahana Hair Transplant Clinic, Rourkela",Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 99371 35861,https://www.aahanaaesthetics.in/,5.0,5.0,"1st Floor, 310/P, Ambedkar chowk, above Applify Mobile, Udit Nagar, Rourkela, Odisha 769012",Udit Nagar,22.2268489,84.84028359999999,ChIJIWBGtDAZIDoR8jZ3Rp2eqKc,https://www.google.com/maps/place/?q=place_id:ChIJIWBGtDAZIDoR8jZ3Rp2eqKc,part_355,2026-09-20 20:18:17,3576
Enhance Clinic,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,https://www.enhanceclinics.in/,4.5,11.0,"Flat No – 2 B, Krishna Plaza, Kachery Rd, near Style Bazaar, Nala Road, Chandrapur, Udit Nagar, Rourkela, Odisha 769001","Nala Road, Chandrapur, Udit Nagar",22.226285999999998,84.85361549999999,ChIJk5Z05UYZIDoRYtiugLFhcws,https://www.google.com/maps/place/?q=place_id:ChIJk5Z05UYZIDoRYtiugLFhcws,part_355,2026-09-20 20:18:17,3577
Hair Harmony and You,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 82604 37151,https://www.hhy.co.in/india/hair-transplant-in-bhubaneswar.html,4.9,893.0,"Hair Harmony And You, 357/3473,, Near Reliance Jio Office, Biju Patnaik College Road,, Towards Ekamra Kanan, Nayapalli,, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.2982014,85.81482869999999,ChIJI1cD0M4JGToRPLDOnz8UMBs,https://www.google.com/maps/place/?q=place_id:ChIJI1cD0M4JGToRPLDOnz8UMBs,part_355,2026-09-20 20:18:17,3578
Radiance Skin & Hair Clinics,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Dermatologist, Hair extensions supplier, Hair replacement service, Laser hair removal service, Permanent make-up clinic, Plastic surgery clinic, Skin care clinic, Weight loss service",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 92383 21888,https://www.radianceclinics.com/,4.8,2293.0,"N1 - 46, 1st St, N1, Block N1, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N1, Block N1, IRC Village, Nayapalli",20.2873214,85.809122,ChIJ____L9MJGToRR1CytBI-4Xg,https://www.google.com/maps/place/?q=place_id:ChIJ____L9MJGToRR1CytBI-4Xg,part_355,2026-09-20 20:18:17,3579
"Saraswat Hospital - Plastic, Cosmetic & Hair Transplant surgery centre.",Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Hair removal service, Plastic surgery clinic, Laser hair removal service, Skin care clinic",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 92583 86320,https://www.saraswathospital.com/,4.9,2777.0,"55, Vimal Vihar, Near Hillman Public School, Sikandra Bodla Road, Shastripuram, Sikandra, Agra, Uttar Pradesh 282007","Harish Nagar, Narain Vihar, Suruchipuram Colony, Sikandra",27.2056492,77.9453648,ChIJsWpDLvJ3dDkROCm-z3wyAAg,https://www.google.com/maps/place/?q=place_id:ChIJsWpDLvJ3dDkROCm-z3wyAAg,part_355,2026-09-20 20:18:17,3580
Hair Harmony and You | Guwahati,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 93651 73507,https://www.hhy.co.in/,4.9,697.0,"3rd Floor, Prakash Tower, ABC, GS Rd, opp. Pallavi Motors, near Dona Planet, ABC, Near IDBI Bank, Sree Nagar, Guwahati, Assam 781005","ABC, Near IDBI Bank, Sree Nagar",26.1614342,91.7729392,ChIJ3ZH4sHJZWjcRQUP5X-t2xc4,https://www.google.com/maps/place/?q=place_id:ChIJ3ZH4sHJZWjcRQUP5X-t2xc4,part_355,2026-09-20 20:18:17,3581
Hair Harmony and You,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Hair replacement service, Laser hair removal service",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 80975 91300,https://www.hhy.co.in/,4.8,413.0,"Flat No. 114, 1st Floor, KAMDHENU BUILDING, 1, 1st Cross Rd, Swami Samarth Nagar, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053","Swami Samarth Nagar, Lokhandwala Complex, Andheri West",19.1413319,72.8248797,ChIJBxGv9xa25zsR1gX_tw-VFcg,https://www.google.com/maps/place/?q=place_id:ChIJBxGv9xa25zsR1gX_tw-VFcg,part_355,2026-09-20 20:18:17,3582
QHT Hair Transplant Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Dermatologist, Hair replacement service, Medical Center",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 95281 68089,http://www.qhtclinic.com/,4.8,3187.0,"Delhi-Haridwar Highway, near HP Jagat Petrol Pump, Jwalapur, Haridwar, Uttarakhand 249407",769002,29.916846099999997,78.09066969999999,ChIJDYI2KUhGCTkR6Z6IqoxnFyE,https://www.google.com/maps/place/?q=place_id:ChIJDYI2KUhGCTkR6Z6IqoxnFyE,part_355,2026-09-20 20:18:17,3583
Ashu Aesthetic & Wellness Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Dermatologist, Laser hair removal service, Pediatric dermatologist, Skin care clinic",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 73812 54569,http://www.ashuaestheticwellnessclinic.com/,5.0,222.0,"First Floor, Plot No 202, Biju Pattnaik College Rd, near IDBI Bank, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.296997599999997,85.819802,ChIJ9z4AJC4JGToRl6ej-Cdh3I8,https://www.google.com/maps/place/?q=place_id:ChIJ9z4AJC4JGToRl6ej-Cdh3I8,part_355,2026-09-20 20:18:17,3584
MEDISPA Hair Transplant Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Hair replacement service, Plastic surgeon",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 11 4140 6606,https://www.medispaindia.in/,4.9,1633.0,"E-44, Gurdwara Rd, Block E, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048","Block E, Greater Kailash II, Greater Kailash",28.538566,77.2434178,ChIJ6ZEct0ziDDkRb2Dc86Xm0XA,https://www.google.com/maps/place/?q=place_id:ChIJ6ZEct0ziDDkRb2Dc86Xm0XA,part_355,2026-09-20 20:18:17,3585
