business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Security Guard Services,Security Guard Agency,Security guard service,Security guard service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 77220 06000,N/A,3.0,,"Pushap kunj, 412207, Sai Satyam Park, Wagholi, Pune, Maharashtra 412207","Sai Satyam Park, Wagholi",18.5749261,73.9609634,ChIJryQCNdfDwjsR_RgoT1HLfK0,https://www.google.com/maps/place/?q=place_id:ChIJryQCNdfDwjsR_RgoT1HLfK0,part_356,2026-09-20 21:10:03
Jay Dada Security Services,Security Guard Agency,Security guard service,Security guard service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,N/A,N/A,4.7,,"Shop No:-14, Jackson Colour Chemicals Ltd, Vir Vijay Hanuman Mandir, N Road, Vinoba Bhave Nagar, Dibiyapur, Phase 2, Vatva, Ahmedabad, Gujarat 382445","Vinoba Bhave Nagar, Dibiyapur, Phase 2, Vatva",22.957458799999998,72.6370723,ChIJX2CzeV-JXjkROpO99P-A038,https://www.google.com/maps/place/?q=place_id:ChIJX2CzeV-JXjkROpO99P-A038,part_356,2026-09-20 21:10:03
Worrier security services,Security Guard Agency,Security guard service,Security guard service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 63966 10594,https://www.worriersecurityservices.com/,4.8,,"Doon Apartment, 152/2, Jakhan, Dehradun, Uttarakhand 248001",Jakhan,30.363561299999997,78.0693576,ChIJgeySVkYrCTkRE3n8C_4ZYto,https://www.google.com/maps/place/?q=place_id:ChIJgeySVkYrCTkRE3n8C_4ZYto,part_356,2026-09-20 21:10:03
Safe PSO Bouncer service,Security Guard Agency,Security service,"Security service, Service establishment",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 99902 66712,https://safe-security-services.ueniweb.com/?utm_campaign=gmb,4.9,,"Safe PSO Bouncer service, 781002, India",781002,28.5273522,77.28978339999999,ChIJpTg2igPlDDkRMwoLzOgH3Hk,https://www.google.com/maps/place/?q=place_id:ChIJpTg2igPlDDkRMwoLzOgH3Hk,part_356,2026-09-20 21:10:03
Doon Security Services (DSS),Security Guard Agency,Security guard service,Security guard service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 73507 15102,N/A,4.7,,"41, THDC Colony, Dehrakhas, Patthri Bagh, Dehradun, Uttarakhand 248001","THDC Colony, Dehrakhas, Patthri Bagh",30.293055,78.0530764,ChIJ54fz9K0pCTkRPqJse9Aij-o,https://www.google.com/maps/place/?q=place_id:ChIJ54fz9K0pCTkRPqJse9Aij-o,part_356,2026-09-20 21:10:03
Sword Security Services,Security Guard Agency,Security guard service,"Security guard service, Security service, Security system installation service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 81719 18197,N/A,4.9,,"GMS Rd, opp. Shani Mandir, near Sailok coloney, Sai Lok Colony, Sailok, Kanwali, Dehradun, Uttarakhand 248171","Sai Lok Colony, Sailok, Kanwali",30.306767699999998,78.0055922,ChIJ3bh-Mq8rCTkRQlXxeiLEDeY,https://www.google.com/maps/place/?q=place_id:ChIJ3bh-Mq8rCTkRQlXxeiLEDeY,part_356,2026-09-20 21:10:03
Hawk Commandos Protection Group Pvt. Ltd.,Security Guard Agency,Security service,Security service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 98370 51913,https://new.hcpg.in/,4.4,,"741 Hawk Tower, Post Office Road, Subhash Nagar, Dehradun, Uttarakhand 248002",Subhash Nagar,30.273744599999997,77.9921988,ChIJA5sYX78rCTkRpGT9T_IJRg0,https://www.google.com/maps/place/?q=place_id:ChIJA5sYX78rCTkRpGT9T_IJRg0,part_356,2026-09-20 21:10:03
BJ SECURITY & HOUSEKEEPING SERVICES PVT. LTD,Security Guard Agency,Security service,"Security service, House cleaning service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 95572 50055,http://bjsecurity.in/,4.7,,"Tower 1st Floor Shop, Abhishek, No. 4 14, Subhash Rd, opp. Pacific Hotel, Dehradun, Uttarakhand 248001","Irigation Colony, Karanpur",30.327068999999998,78.04823499999999,ChIJHXYLtcYpCTkRIFsGges0A6g,https://www.google.com/maps/place/?q=place_id:ChIJHXYLtcYpCTkRIFsGges0A6g,part_356,2026-09-20 21:10:03
Alliance Security Services,Security Guard Agency,Security guard service,Security guard service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 75338 07779,https://www.alliancesecurity.in/,4.3,,"18, Balliwala, Dehradun, Uttarakhand 248006",Balliwala,30.323262099999997,78.0064235,ChIJH8Wu2Q8qCTkRDHiwqtgkab4,https://www.google.com/maps/place/?q=place_id:ChIJH8Wu2Q8qCTkRDHiwqtgkab4,part_356,2026-09-20 21:10:03
Singh Bouncer Security Dehradun,Security Guard Agency,Security guard service,"Security guard service, Security service, Valet parking service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 63960 68262,https://www.instagram.com/singhbouncer_security?igsh=MWxsM2cwNWY2dTB3cQ==&utm_source=qr,5.0,,"289, Patel Nagar, Dehradun, Uttarakhand 248001",Patel Nagar,30.307892199999998,78.0212232,ChIJG3Gx8SqZ8CMRvAFIoolAN78,https://www.google.com/maps/place/?q=place_id:ChIJG3Gx8SqZ8CMRvAFIoolAN78,part_356,2026-09-20 21:10:03
Alert Security Guard Service,Security Guard Agency,Security guard service,"Security guard service, Armed forces association, Border guard, Employment agency, Fire protection service, Municipal Guard, Security service, Security system installation service, Security system supplier, Women's protection service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 98251 19374,N/A,4.4,,"1,2.3 First floor Vidhata Shopping Center Bhestan, Gujarat 395023",Bhestan,21.1327099,72.8526334,ChIJazKo-_VR4DsRPeY1ibgTrb0,https://www.google.com/maps/place/?q=place_id:ChIJazKo-_VR4DsRPeY1ibgTrb0,part_356,2026-09-20 21:10:03
Adarsh Security Service Housekeeping and Manpower,Security Guard Agency,Security guard service,"Security guard service, Security service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 99979 25236,N/A,4.9,,"NH-24, Delhi road, NH-24, Majhola, Moradabad, Uttar Pradesh 244103",Majhola,28.8275458,78.73497809999999,ChIJvbLqXkL9CjkRb4u4K_g0aSw,https://www.google.com/maps/place/?q=place_id:ChIJvbLqXkL9CjkRb4u4K_g0aSw,part_356,2026-09-20 21:10:03
BULLSEYE SECURITY,Security Guard Agency,Security guard service,"Security guard service, Security service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 80065 85858,http://www.bullseyesecurity.in/,4.4,,"House number 384 M, Phase, 1, Dwarka Vihar, Gurukul Kangri Vishwavidyalaya, Haridwar, Uttarakhand 249404","Dwarka Vihar, Gurukul Kangri Vishwavidyalaya",29.915663,78.11581799999999,ChIJG-Bda0RGCTkRxVBmYkNQXKM,https://www.google.com/maps/place/?q=place_id:ChIJG-Bda0RGCTkRxVBmYkNQXKM,part_356,2026-09-20 21:10:03
"Royal Security Services, Agra",Security Guard Agency,Security guard service,Security guard service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 98370 74446,https://royalgroupofsecurity.com/,4.8,,"Piyush complex, Shop no. 206, upper ground floor, 39/8, Mau Rd, Khandari, Agra, Uttar Pradesh 282005","Mayapuri Colony, Khandari",27.2140886,77.988652,ChIJ3yCFGql3dDkRC_dMcJk-_QY,https://www.google.com/maps/place/?q=place_id:ChIJ3yCFGql3dDkRC_dMcJk-_QY,part_356,2026-09-20 21:10:03
SAS Security And Services,Security Guard Agency,Security guard service,Security guard service,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 89796 12999,N/A,4.9,,"B- 44, Vaishno Dham, New Etah Chungi, Aligarh, Uttar Pradesh 202002","New Etah Chungi, Kunwar Nagar",27.8731099,78.0983109,ChIJh7OVOBejdDkRqrSMaC-2o5c,https://www.google.com/maps/place/?q=place_id:ChIJh7OVOBejdDkRqrSMaC-2o5c,part_356,2026-09-20 21:10:03
REAL SECURITY & MANPOWER PVT LTD.,Security Guard Agency,Security guard service,"Security guard service, Corporate campus, Industrial engineer",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 96015 34927,https://realsecuritym.com/,4.8,,"12, Sarjan Shopping Center Canal Road New Naroda, Krishnanagar, Naroda, Ahmedabad, Gujarat 382345","Krishnanagar, Naroda",23.0566064,72.6513709,ChIJl_l6JduGXjkRUf8-6iAwkYo,https://www.google.com/maps/place/?q=place_id:ChIJl_l6JduGXjkRUf8-6iAwkYo,part_356,2026-09-20 21:10:03
Sai Security services,Security Guard Agency,Security guard service,"Security guard service, Security service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 80575 55552,http://saisecurityservice.com/,4.8,,"3/8, Bareilly - Badaun Rd, Civil Lines, Bareilly, Uttar Pradesh 243001",Civil Lines,28.3444307,79.4217932,ChIJK46VHtcAoDkRcCy46Qi1lC4,https://www.google.com/maps/place/?q=place_id:ChIJK46VHtcAoDkRcCy46Qi1lC4,part_356,2026-09-20 21:10:03
Red Guards Consultant Pvt Ltd,Security Guard Agency,Security guard service,"Security guard service, Security service",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 98365 66615,https://www.redguards.co.in/,4.7,21.0,"2nd Floor, 135/3A, Bepin Behari Ganguly St, Lebutala, Bowbazar, Kolkata, West Bengal 700012","Lebutala, Bowbazar",22.5675723,88.3667378,ChIJpVVTxUt3AjoRehk03VWxYGo,https://www.google.com/maps/place/?q=place_id:ChIJpVVTxUt3AjoRehk03VWxYGo,part_356,2026-09-20 21:10:04
Sagar Security Agency,Security Guard Agency,Security service,"Security service, General store",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 98540 70886,N/A,4.0,32.0,"Flat No 202 2nd Floor Originplace, GS Rd, near Mizoram house, Sree Nagar, Guwahati, Assam 781005",Sree Nagar,26.159813,91.7747912,ChIJ4ZFVlxJZWjcRDqB9UNqL8xs,https://www.google.com/maps/place/?q=place_id:ChIJ4ZFVlxJZWjcRDqB9UNqL8xs,part_356,2026-09-20 21:10:05
