business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PW Govt Exam Wallah Raipur,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Studying center, Test preparation center, Tutoring service",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 74288 99270,https://www.pw.live/,4.8,,"2nd Floor, Kali Mata, Ward no. 30, Lodhipara Chowk, Plot no. 4/2, Pandri, Raipur, Chhattisgarh 492004",Pandri,21.2601104,81.6571902,ChIJs2GYtXTdKDoR4qhqyxqBU3I,https://www.google.com/maps/place/?q=place_id:ChIJs2GYtXTdKDoR4qhqyxqBU3I,part_352,2026-09-20 20:34:26
Career Power,Competitive Exam Coaching (UPSC/Banking),Banking entrance coaching centre,Banking entrance coaching centre,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 79747 80783,https://www.careerpower.in/viewCourses.html?city=Raipur&branch=Raipur&key=All%20Courses,4.6,,"2nd Floor Above CAPS Tally, behind Mata Garage, Pandri, Raipur, Chhattisgarh 492004",Pandri,21.255540099999997,81.6532168,ChIJczQWR2LdKDoR_2NpJaMsZqk,https://www.google.com/maps/place/?q=place_id:ChIJczQWR2LdKDoR_2NpJaMsZqk,part_352,2026-09-20 20:34:26
Competition Community [Raipur],Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Educational institution, Education center, Educational consultant",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 78699 62071,https://competitioncommunity.com/,4.6,,"1, Road & Plaza, 7, South Ave, Geeta Nagar, Choubey Colony, Raipur, Chhattisgarh 492001","Geeta Nagar, Choubey Colony",21.2438349,81.6141292,ChIJ95C2DczdKDoRHk6FjzQOVRU,https://www.google.com/maps/place/?q=place_id:ChIJ95C2DczdKDoRHk6FjzQOVRU,part_352,2026-09-20 20:34:26
Sahastra academy Shankar Nagar raipur,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 75094 55500,N/A,4.0,,"MIG-65(A, Geetanjali Colony, Shankar Nagar, Raipur, Chhattisgarh 492004","Geetanjali Colony, Shankar Nagar",21.2528988,81.664177,ChIJZfX_LJbdKDoRbYBtcm7c_Zk,https://www.google.com/maps/place/?q=place_id:ChIJZfX_LJbdKDoRbYBtcm7c_Zk,part_352,2026-09-20 20:34:26
"PATH IAS Academy – Best UPSC & CGPSC Coaching in Raipur, Chhattisgarh",Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Civil examinations academy, Education center, Educational institution, Private Tutor, Training center, Tutoring service",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 82249 22922,http://pathiasacademy.com/,4.7,,"PATH CAMPUS, Near Abkari Niyantran Kendra, near CSEB Office, Civil Lines, Raipur, Chhattisgarh 492001",Civil Lines,21.240987,81.649333,ChIJIWaJvwvdKDoRSv8SdRol2Qk,https://www.google.com/maps/place/?q=place_id:ChIJIWaJvwvdKDoRSv8SdRol2Qk,part_352,2026-09-20 20:34:26
MINI TALKIES RAIPURA,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Civil examinations academy, Educational consultant",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 99264 60684,http://www.facebook.com/shandilyasindia,4.9,,"New Shanti Nagar, Geetanjali Colony, Changurabhata, Raipur, Chhattisgarh 492013","New Shanti Nagar, Geetanjali Colony, Changurabhata",21.224605999999998,81.59483999999999,ChIJ3yO8pwnfKDoRILuAa_a5oEw,https://www.google.com/maps/place/?q=place_id:ChIJ3yO8pwnfKDoRILuAa_a5oEw,part_352,2026-09-20 20:34:26
Rise Education,Competitive Exam Coaching (UPSC/Banking),Banking entrance coaching centre,"Banking entrance coaching centre, Civil examinations academy, Coaching Center, Consultant, Hotel Management Institute, Training center",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 74153 34338,https://riseeducation.in/,4.8,,"Phool Chowk, 3rd floor, G. K. Tower, Mahatma Gandhi Rd, beside Manju Mamta Restaurant, Raipur, Chhattisgarh 492001",Jawahar Nagar,21.2443255,81.633721,ChIJeQ22GWvdKDoRfGjqL-cZ_SQ,https://www.google.com/maps/place/?q=place_id:ChIJeQ22GWvdKDoRfGjqL-cZ_SQ,part_352,2026-09-20 20:34:26
Vani sagar coaching,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 95847 50047,https://www.facebook.com/vscrpr/,4.8,,"beside Chhattisgarh College Road, Byron Bazar, Janta Colony, Raipur, Chhattisgarh 492001","Byron Bazar, Janta Colony",21.2351438,81.64633429999999,ChIJj3m5T6LdKDoR2uNiOUnw7K0,https://www.google.com/maps/place/?q=place_id:ChIJj3m5T6LdKDoR2uNiOUnw7K0,part_352,2026-09-20 20:34:26
Anushka Academy – Coaching Centre In Udaipur,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Education center, Educational institution, Studying center, Test preparation center, Training center",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 82332 23322,https://www.anushkaacademy.com/,4.8,,"1 1st Floor, Gokul Centrum, Anushka Wing, near Sewashram Bridge, Sector 3, Hiran Magri, Udaipur, Rajasthan 313002","Shanti Nagar, Sector 3, Hiran Magri",24.576989899999997,73.7243021,ChIJiw67GYzlZzkRiKkXWys6KiI,https://www.google.com/maps/place/?q=place_id:ChIJiw67GYzlZzkRiKkXWys6KiI,part_352,2026-09-20 20:34:27
Mahendra's Institute - Bilaspur,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Educational institution, Educational testing service, Training center",766104,Odisha Circle,Berhampur Region,Kalahandi Division,"Khariar Road S.O, Amsena B.O, Beltukri B.O",+91 88788 17515,https://branch.mahendras.org/bilaspur-37895/home?utm_source=GBP,4.6,939.0,"NARAYAN PLAZA, 2ND FLOOR, OFFICE NO. A-231, 232, 233 NARAYAN PLAZA, Link Rd, Bilaspur, Chhattisgarh 495001",766104,22.0751672,82.1543224,ChIJHdTE5RULKDoRzAY7Dv9-BQ4,https://www.google.com/maps/place/?q=place_id:ChIJHdTE5RULKDoRzAY7Dv9-BQ4,part_352,2026-09-20 20:34:29
